trial_id,fs_estimate_hz,flagged_fs_outlier
717,250.26809180387244,False
718,250.27003676311827,False
719,250.14430092656445,False
720,250.5380402154756,False
721,250.19104223234064,False
722,250.33325175886645,False
723,250.27840342626843,False
724,250.5329112735309,False
725,249.8349754531568,False
726,250.88171016551402,False
727,250.4725978868144,False
728,250.28282760881658,False
729,250.27123232494392,False
730,250.2804262484851,False
731,250.47044895416212,False
732,250.50626273166756,False
733,250.43102145061295,False
734,250.18882047646903,False
735,250.25425240886617,False
736,250.18661127508113,False
737,250.3484090480675,False
738,250.19041352699838,False
739,250.2829855269328,False
740,250.06376425668313,False
741,250.677986654715,False
742,250.44554302709832,False
743,250.2759369865207,False
744,250.0637042016077,False
745,250.269457788967,False
746,250.3174995538571,False
747,250.2042333335048,False
748,250.40865259083145,False
749,250.34896331334156,False
750,250.09710403007503,False
751,250.16449892342678,False
752,250.42440623838115,False
753,250.15979845631122,False
754,250.3330611744468,False
755,250.26592883157724,False
756,250.04917433704034,False
757,250.42574882322904,False
758,250.27205192777797,False
759,250.30117270854143,False
760,250.38325470578314,False
761,250.12973415197862,False
762,249.74877212333374,False
763,250.79716918597092,False
764,250.43870617880575,False
765,249.91068368452608,False
766,250.42496836588535,False
767,250.22446606557116,False
768,250.19659304743473,False
769,250.3866715696506,False
770,250.22124905790486,False
771,250.5340741841919,False
772,250.21438687309765,False
773,250.33259726181726,False
774,249.8465877969575,False
775,246.02835995191393,False
776,253.32584959371928,False
777,255.9447888478462,False
778,245.3948234300801,False
779,255.78815377401617,False
780,242.61939471286342,False
781,259.60798882033686,False
782,247.12757947940068,False
783,248.09936428186253,False
784,244.61409009656808,False
785,259.8493320993471,False
786,243.71575179277974,False
787,258.9318645096082,False
788,250.96351561903853,False
789,246.3007359188079,False
790,253.35618114718653,False
791,248.50134002781243,False
792,249.03203619266023,False
793,257.651496811893,False
794,250.72223353598594,False
795,249.43555349375077,False
796,243.6024859736078,False
797,253.22207612554746,False
798,254.0243520816141,False
799,250.68310896410222,False
800,250.24893460196463,False
801,239.9706158429583,False
802,250.40686355682809,False
803,250.20799854040854,False
804,250.4407315872452,False
805,249.89436238098523,False
806,250.5831297081721,False
807,250.36326969440785,False
808,250.33243677049433,False
809,250.240316825706,False
810,250.08052062132904,False
811,250.96957460395834,False
812,243.48148712529616,False
813,257.1391696145864,False
814,250.64697561024806,False
815,249.89481718148258,False
816,250.2852490667649,False
817,246.3260528361329,False
818,247.7940995435603,False
